"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Gummi Sharks Blue Bulk ( RM-01-017-A )","Albanese","Englewood","3 lb","447 lb","82","-","368 lb","-","-","SA-01-017-A 3.8","Candy & Snacks :  1.9 %","5 w","8 w","—","SA-01-017-A :   No","Core","OK 447  /   400 lb 9 w  goal","OK 80  /   67 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-017-XXX","533","146 lbs","26 lb","40 lb","32 lb","35 lb","34 lb","39 lb","47 lb","83 lb","62 lb","47 lb","53 lb","44 lb","50 lb","76 lb","61 lb","227 lb","448 lb","646 lb","442 lb","117 lb","140 lb","67 lb","49 lb","33 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Gummy Butterflies Bulk ( RM-01-026-A )","Albanese","Englewood","7 lb","438 lb","131","-","314 lb","-","-","SA-01-026-A 2.8","Candy & Snacks :  1.3 %","5 w","8 w","—","SA-01-026-A :   No","Core","OK 438  /   367 lb 9 w  goal","OK 124  /   62 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-026-XXX","960","107 lbs","24 lb","37 lb","30 lb","32 lb","31 lb","36 lb","43 lb","76 lb","57 lb","43 lb","49 lb","41 lb","46 lb","70 lb","56 lb","208 lb","412 lb","593 lb","406 lb","107 lb","128 lb","61 lb","45 lb","30 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Gummy Worms Bulk ( RM-01-067-A )","Albanese","Englewood","3 lb","599 lb","41","-","561 lb","-","-","SA-01-067-A 3.2","Candy & Snacks :  2.2 %","5 w","8 w","—","SA-01-067-A :   No","Core","OK 599  /   551 lb 9 w  goal","Short 38  /   93 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-067-XXX","1,594","219 lbs","36 lb","56 lb","45 lb","48 lb","47 lb","53 lb","65 lb","115 lb","86 lb","64 lb","73 lb","61 lb","69 lb","105 lb","84 lb","313 lb","617 lb","890 lb","609 lb","161 lb","193 lb","92 lb","67 lb","45 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gummy Worms Bulk ( RM-01-069-A )","Albanese","Englewood","2 lb","876 lb","663","-","216 lb","-","-","SA-01-069-A 2.2","Candy & Snacks :  1.2 %","5 w","8 w","—","SA-01-069-A :   No","Core","OK 876  /   433 lb 9 w  goal","OK 661  /   73 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-069-XXX","327","0","29 lb","44 lb","35 lb","38 lb","37 lb","42 lb","51 lb","90 lb","67 lb","51 lb","57 lb","48 lb","55 lb","82 lb","66 lb","246 lb","485 lb","700 lb","479 lb","126 lb","151 lb","73 lb","53 lb","36 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peach Rings Bulk ( RM-01-058-A )","Albanese · then  Redstone","Englewood","12 lb","1,017 lb","309","-","720 lb","-","-","SA-01-058-A 2.8","Candy & Snacks :  2.5 %","5 w","8 w","—","SA-01-058-A :   No","Core","OK 1017  /   734 lb 9 w  goal","OK 298  /   123 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-058-XXX","1,630","73 lbs","48 lb","74 lb","59 lb","64 lb","62 lb","71 lb","87 lb","153 lb","114 lb","86 lb","97 lb","81 lb","93 lb","140 lb","112 lb","417 lb","823 lb","1187 lb","812 lb","214 lb","257 lb","123 lb","90 lb","60 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Gummy Bear Cubs Bulk ( RM-01-074-A )","Albanese · then  Redstone · Jerry's","Englewood","2 lb","578 lb","114","-","465 lb","-","-","SA-01-074-A 2.9","Candy & Snacks :  1.7 %","5 w","8 w","—","SA-01-074-A :   No","Core","OK 578  /   489 lb 9 w  goal","OK 113  /   82 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-074-XXX","2,640","149 lbs","32 lb","50 lb","40 lb","43 lb","41 lb","47 lb","58 lb","102 lb","76 lb","57 lb","65 lb","54 lb","62 lb","93 lb","74 lb","278 lb","549 lb","791 lb","541 lb","143 lb","171 lb","82 lb","60 lb","40 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Rainbow Bears Bulk ( RM-01-101-A )","Albanese · then  Redstone · Jerry's","Englewood","12 lb","747 lb","246","-","514 lb","-","-","SA-01-101-A 2.6","Candy & Snacks :  1.3 %","5 w","8 w","—","SA-01-101-A :   No","Core","OK 747  /   404 lb 9 w  goal","OK 233  /   68 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-101-XXX","1,062","0","27 lb","41 lb","33 lb","35 lb","34 lb","39 lb","48 lb","84 lb","63 lb","47 lb","54 lb","45 lb","51 lb","77 lb","61 lb","230 lb","453 lb","653 lb","447 lb","118 lb","141 lb","68 lb","49 lb","33 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Starbursts Bulk ( RM-01-016-A )","Blair Candy · then  Redstone","Englewood","3 lb","246 lb","89","-","160 lb","-","-","SA-01-016-A 3.0","Candy & Snacks :  1.6 %","4 w","4 w","—","SA-01-016-A :   No","Core","Short 246  /   362 lb 8 w  goal","OK 86  /   72 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-016-XXX","305","116 lbs","28 lb","43 lb","35 lb","38 lb","36 lb","42 lb","51 lb","89 lb","67 lb","50 lb","57 lb","47 lb","54 lb","82 lb","65 lb","244 lb","481 lb","693 lb","474 lb","125 lb","150 lb","72 lb","52 lb","35 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Patch Kids Bulk ( RM-01-057-A )","Blair Candy · then  Redstone","Englewood","3 lb","569 lb","446","-","126 lb","-","-","SA-01-057-A 2.9","Candy & Snacks :  2.0 %","4 w","4 w","—","SA-01-057-A :   No","Core","OK 569  /   472 lb 8 w  goal","OK 443  /   94 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-057-XXX","2,246","0","37 lb","57 lb","45 lb","49 lb","47 lb","54 lb","66 lb","116 lb","87 lb","65 lb","74 lb","62 lb","71 lb","106 lb","85 lb","318 lb","627 lb","904 lb","619 lb","163 lb","196 lb","94 lb","68 lb","46 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Reeses Pieces Bulk ( RM-01-062-A )","Blair Candy · then  Redstone","Englewood","4 lb","577 lb","231","-","350 lb","-","-","SA-01-062-A 2.6","Candy & Snacks :  2.6 %","4 w","4 w","—","SA-01-062-A :   No","Core","Short 577  /   682 lb 8 w  goal","OK 227  /   136 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-062-XXX","993","104 lbs","53 lb","82 lb","65 lb","71 lb","68 lb","78 lb","95 lb","168 lb","126 lb","94 lb","107 lb","89 lb","102 lb","154 lb","123 lb","459 lb","906 lb","1307 lb","894 lb","236 lb","283 lb","135 lb","99 lb","66 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
