"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Sour Patch Watermelons Bulk ( RM-01-063-A )","Blair Candy · then  Redstone","Englewood","3 lb","423 lb","103","-","323 lb","-","-","SA-01-063-A 3.4","Candy & Snacks :  3.1 %","4 w","4 w","—","SA-01-063-A :   No","Core","Short 423  /   616 lb 8 w  goal","Short 100  /   122 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-063-XXX","3,392","192 lbs","48 lb","74 lb","59 lb","64 lb","62 lb","71 lb","86 lb","152 lb","114 lb","85 lb","97 lb","81 lb","92 lb","139 lb","111 lb","414 lb","818 lb","1180 lb","807 lb","213 lb","255 lb","122 lb","89 lb","60 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Swedish Fish Bulk ( RM-01-064-A )","Blair Candy · then  Redstone","Englewood","4 lb","404 lb","40","-","359 lb","10 lb","P02137 7/27/26","FG-48-009-A 2.0 SA-01-064-A 2.6 SA-39-074-A 2.0","Candy & Snacks :  2.2 %","4 w","4 w","—","4  Active","Core","OK 404  /   294 lb 5 w  goal","Short 36  /   117 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-064-XXX","1,463","185 lbs","46 lb","71 lb","57 lb","61 lb","59 lb","68 lb","82 lb","146 lb","109 lb","82 lb","93 lb","77 lb","88 lb","133 lb","106 lb","397 lb","784 lb","1130 lb","774 lb","204 lb","245 lb","117 lb","85 lb","57 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Mnms Bulk ( RM-01-066-A )","Blair Candy · then  Redstone","Englewood","2 lb","428 lb","199","-","231 lb","-","-","SA-01-066-A 2.4","Candy & Snacks :  1.7 %","4 w","4 w","—","SA-01-066-A :   No","Core","Short 428  /   496 lb 8 w  goal","OK 197  /   99 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-066-XXX","573","67 lbs","39 lb","59 lb","47 lb","51 lb","50 lb","57 lb","69 lb","122 lb","91 lb","68 lb","78 lb","65 lb","74 lb","112 lb","89 lb","333 lb","658 lb","949 lb","650 lb","171 lb","205 lb","98 lb","72 lb","48 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Rainbow Sticks Bulk ( RM-01-008-A )","Redstone","Englewood","3 lb","359 lb","87","-","275 lb","-","-","SA-01-008-A 3.3","Candy & Snacks :  2.1 %","5 w","4 w","—","SA-01-008-A :   No","Core","Short 359  /   518 lb 9 w  goal","Short 84  /   87 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-008-XXX","720","158 lbs","34 lb","52 lb","42 lb","45 lb","44 lb","50 lb","61 lb","108 lb","81 lb","60 lb","69 lb","57 lb","65 lb","99 lb","79 lb","294 lb","581 lb","838 lb","573 lb","151 lb","181 lb","87 lb","63 lb","42 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Hot Tamales Bulk ( RM-01-018-A )","Redstone","Englewood","14 lb","296 lb","163","-","147 lb","-","-","SA-01-018-A 2.3","Candy & Snacks :  1.1 %","5 w","4 w","—","SA-01-018-A :   No","Core","Short 296  /   386 lb 9 w  goal","OK 149  /   65 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-018-XXX","283","89 lbs","25 lb","39 lb","31 lb","34 lb","33 lb","37 lb","45 lb","80 lb","60 lb","45 lb","51 lb","43 lb","49 lb","73 lb","59 lb","219 lb","432 lb","623 lb","426 lb","112 lb","135 lb","65 lb","47 lb","32 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Gummy Red Colas Bulk ( RM-01-025-A )","Redstone","Englewood","3 lb","372 lb","137","-","238 lb","-","-","SA-01-025-A 2.9","Candy & Snacks :  1.8 %","5 w","4 w","—","SA-01-025-A :   No","Core","Short 372  /   484 lb 9 w  goal","OK 134  /   81 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-025-XXX","1,299","112 lbs","32 lb","49 lb","39 lb","42 lb","41 lb","47 lb","57 lb","101 lb","75 lb","56 lb","64 lb","53 lb","61 lb","92 lb","73 lb","275 lb","542 lb","782 lb","535 lb","141 lb","169 lb","81 lb","59 lb","40 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Heavenly Wrapped Caramels Seasalt Bulk ( RM-01-027-A )","Redstone","Englewood","8 lb","365 lb","124","-","250 lb","-","-","SA-01-027-A 4.3","Candy & Snacks :  3.1 %","5 w","4 w","—","SA-01-027-A :   No","Core","Short 365  /   579 lb 9 w  goal","OK 115  /   97 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-027-XXX","1,077","213 lbs","38 lb","59 lb","47 lb","51 lb","49 lb","56 lb","68 lb","120 lb","90 lb","68 lb","77 lb","64 lb","73 lb","110 lb","88 lb","329 lb","649 lb","936 lb","640 lb","169 lb","203 lb","97 lb","71 lb","47 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sour Wild Strawberries Bulk ( RM-01-031-A )","Redstone","Englewood","10 lb","219 lb","10","14","219 lb","-","-","SA-01-031-A 3.6","Candy & Snacks :  1.4 %","5 w","4 w","—","SA-01-031-A :   No","Core","Short 219  /   306 lb 9 w  goal","Short 0  /   52 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-031-XXX","2,414","87 lbs","20 lb","31 lb","25 lb","27 lb","26 lb","30 lb","36 lb","64 lb","48 lb","36 lb","41 lb","34 lb","39 lb","58 lb","47 lb","174 lb","343 lb","495 lb","339 lb","89 lb","107 lb","51 lb","37 lb","25 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gummy Flamingos Bulk ( RM-01-032-A )","Redstone","Englewood","2 lb","77 lb","71","-","8 lb","-","-","SA-01-032-A 3.0","Candy & Snacks :  0.6 %","5 w","4 w","—","SA-01-032-A :   No","Core","Short 77  /   160 lb 9 w  goal","OK 70  /   27 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-032-XXX","424","83 lbs","11 lb","16 lb","13 lb","14 lb","14 lb","16 lb","19 lb","33 lb","25 lb","19 lb","21 lb","18 lb","20 lb","30 lb","24 lb","91 lb","179 lb","259 lb","177 lb","47 lb","56 lb","27 lb","20 lb","13 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lemon Heads Bulk ( RM-01-044-A )","Redstone","Englewood","6 lb","117 lb","70","-","52 lb","-","-","SA-01-044-A 3.8","Candy & Snacks :  0.7 %","5 w","4 w","—","SA-01-044-A :   No","Core","Short 117  /   156 lb 9 w  goal","OK 64  /   27 lb 2 w  packed","50.0 % Week  49 - 53","L-A01-REG-22-044-XXX","314","39 lbs","10 lb","16 lb","13 lb","14 lb","13 lb","15 lb","18 lb","32 lb","24 lb","18 lb","21 lb","17 lb","20 lb","30 lb","24 lb","89 lb","175 lb","252 lb","173 lb","45 lb","55 lb","26 lb","19 lb","13 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
