"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Sour Patch Watermelons Bulk ( RM-01-063-A )","Blair Candy · then  Redstone","Englewood","0 lb","301 lb","0","-","151 lb","150 lb","P02137 7/27/26","SA-01-063-A 3.4","Candy & Snacks :  3.1 %","4 w","4 w","—","SA-01-063-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-063-XXX","3,392","315 lbs","48 lb","74 lb","59 lb","64 lb","62 lb","71 lb","86 lb","152 lb","114 lb","85 lb","97 lb","81 lb","92 lb","139 lb","111 lb","414 lb","818 lb","1180 lb","807 lb","213 lb","255 lb","122 lb","89 lb","60 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Swedish Fish Bulk ( RM-01-064-A )","Blair Candy · then  Redstone","Englewood","0 lb","255 lb","0","-","155 lb","100 lb","P02137 7/27/26","FG-48-009-A 2.0 SA-01-064-A 2.6 SA-39-074-A 2.0","Candy & Snacks :  2.2 %","4 w","4 w","—","4  Active","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-064-XXX","1,463","335 lbs","46 lb","71 lb","57 lb","61 lb","59 lb","68 lb","82 lb","146 lb","109 lb","82 lb","93 lb","77 lb","88 lb","133 lb","106 lb","397 lb","784 lb","1130 lb","774 lb","204 lb","245 lb","117 lb","85 lb","57 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Mini Mnms Bulk ( RM-01-066-A )","Blair Candy · then  Redstone","Englewood","0 lb","328 lb","0","-","278 lb","50 lb","P02137 7/27/26","SA-01-066-A 2.4","Candy & Snacks :  1.7 %","4 w","4 w","—","SA-01-066-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-066-XXX","1,065","167 lbs","39 lb","59 lb","47 lb","51 lb","50 lb","57 lb","69 lb","122 lb","91 lb","68 lb","78 lb","65 lb","74 lb","112 lb","89 lb","333 lb","658 lb","949 lb","650 lb","171 lb","205 lb","98 lb","72 lb","48 lb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Atkinson Rainbow Twist Bulk ( RM-01-006-A )","Jack's","—","0 lb","13 lb","13","-","0 lb","-","-","SA-01-006-A 5.3","-","4 w","4 w","—","SA-01-006-A :   No","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-006-XXX","1,360","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Candy Blocks Bulk ( RM-01-019-A )","Jack's","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-019-A 3.3","-","4 w","4 w","—","SA-01-019-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-019-XXX","2,494","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamoy Mango Gummies Bulk ( RM-01-041-A )","Jack's","—","0 lb","0 lb","0","-","-26 lb","-","-","SA-01-041-A 2.9","-","4 w","4 w","—","SA-01-041-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-041-XXX","805","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chamoy Gummy Bears Bulk ( RM-01-043-A )","Jack's","—","0 lb","0 lb","0","-","-9 lb","-","-","SA-01-043-A 3.0","-","4 w","4 w","—","SA-01-043-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-043-XXX","361","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Vero Rellerindos Bulk ( RM-01-049-A )","Jack's","—","0 lb","0 lb","31","-","-45 lb","-","-","SA-01-049-A 4.3","-","4 w","4 w","—","SA-01-049-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-049-XXX","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Bubble Gum Bulk ( RM-01-001-A )","Redstone","—","0 lb","1 lb","0","-","0 lb","1 lb","P02149 8/9/26","SA-01-001-A 2.3","-","5 w","4 w","—","SA-01-001-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-001-XXX","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jelly Belly Black Licorice Bulk ( RM-01-002-A )","Redstone","—","0 lb","0 lb","0","-","0 lb","-","-","SA-01-002-A 2.2","-","5 w","4 w","—","SA-01-002-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","L-A01-REG-22-002-XXX","775","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
