"Name (SKU)","Supplier","Location","Drop Level","Total Inventory","Packed Inventory","Prelisted","Bulk Inventory","Ordered Inventory","Last Orders","SA BOMs","Popularity","Lead Time","Weeks On Hand","Case Qty","Discontinued","Core Status","Purchase Coverage Goal","Packed Coverage Goal","Buffer Settings","Carton/Sticker","Carton/Sticker Inventory","Recommended","W34 (8/16)","W35 (8/23)","W36 (8/30)","W37 (9/6)","W38 (9/13)","W39 (9/20)","W40 (9/27)","W41 (10/4)","W42 (10/11)","W43 (10/18)","W44 (10/25)","W45 (11/1)","W46 (11/8)","W47 (11/15)","W48 (11/22)","W49 (11/29)","W50 (12/6)","W51 (12/13)","W52 (12/20)","W1 (12/27)","W2 (1/3)","W3 (1/10)","W4 (1/17)","W5 (1/24)","W6 (1/31)","W7 (2/7)","W8 (2/14)","W9 (2/21)","W10 (2/28)","W11 (3/7)","W12 (3/14)","W13 (3/21)","W14 (3/28)","W15 (4/4)","W16 (4/11)","W17 (4/18)","W18 (4/25)","W19 (5/2)","W20 (5/9)","W21 (5/16)","W22 (5/23)","W23 (5/30)","W24 (6/6)","W25 (6/13)","W26 (6/20)","W27 (6/27)","W28 (7/4)","W29 (7/11)","W30 (7/18)","W31 (7/25)","W32 (8/1)","W33 (8/8)","W34 (8/15)","W35 (8/22)","W36 (8/29)","W37 (9/5)","W38 (9/12)","W39 (9/19)","W40 (9/26)","W41 (10/3)"
"Art of Tea English Breakfast Individual (merged) ( RM-20-083-A ) , ( RM-20-083-E )","Art of Tea","Taylor Englewood","0","2,609","2,490","-","119","-","-","","Bakery & Cafe @TY :  0.5 % Bakery & Cafe @EW :  0.5 % Custom Mug & Treats :  0.2 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-CXX-REG-22-XXX-XXX","16,260","595","164","246","198","214","210","235","289","502","392","289","333","274","312","469","378","1414","2820","4165","2839","757","910","426","307","302","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lemon Individual ( RM-03-098-A )","Brownie Points","—","0","18","18","-","0","-","-","SA-03-098-A 1.0","-","6 w","4 w","—","SA-03-098-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-C03-REG-25-098-XXX","8,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salty Caramel Individual ( RM-45-003-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-003-A 1.0","-","6 w","4 w","—","SA-45-003-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-003-XXX","866","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic Vanilla Blondie Individual ( RM-45-004-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-004-A 1.0","-","6 w","4 w","—","SA-45-004-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-004-XXX","3,019","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"PB & Caramel Individual ( RM-45-005-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-005-A 1.0","-","6 w","4 w","—","SA-45-005-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-005-XXX","6,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cookies & Cream individual ( RM-45-006-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-006-A 1.0","-","6 w","4 w","—","SA-45-006-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-006-XXX","4,242","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Birthday Cake Individual ( RM-45-007-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-007-A 1.0","-","6 w","4 w","—","SA-45-007-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-007-XXX","3,232","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Butterscotch Individual ( RM-45-009-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-009-A 1.0","-","6 w","4 w","—","SA-45-009-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-009-XXX","1,714","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Caramel Crunch Individual ( RM-45-010-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-010-A 1.0","-","6 w","4 w","—","SA-45-010-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-010-XXX","1,076","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cookie Jar Individual ( RM-45-011-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-011-A 1.0","-","6 w","4 w","—","SA-45-011-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-011-XXX","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Raspberry Caramel Fudge Individual ( RM-45-013-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-013-A 1.0","-","6 w","4 w","—","SA-45-013-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-013-XXX","956","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gluten Free Salty Caramel Individual ( RM-45-014-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-014-A 1.0","-","6 w","4 w","—","SA-45-014-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-014-XXX","563","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gluten Free Chocolate Fudge Individual ( RM-45-015-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-015-A 1.0","-","6 w","4 w","—","SA-45-015-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-015-XXX","676","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gluten Free Birthday Cake Individual ( RM-45-016-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-016-A 1.0","-","6 w","4 w","—","SA-45-016-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-016-XXX","280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lemon Bar Individual ( RM-45-017-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-017-A 1.0","-","6 w","4 w","—","SA-45-017-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-017-XXX","1,746","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cafe Au Lait Individual ( RM-45-020-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-020-A 1.0","-","6 w","4 w","—","SA-45-020-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-020-XXX","1,464","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic Walnut Fudge Individual ( RM-45-023-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-023-A 1.0","-","6 w","4 w","—","SA-45-023-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-023-XXX","3,986","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Pecan Praline Individual ( RM-45-025-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-025-A 1.0","-","6 w","4 w","—","SA-45-025-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-025-XXX","5,184","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Chocolate Toffee Biscotti Individual ( RM-45-026-A )","Brownie Points","—","32","0","0","-","0","-","-","SA-45-026-A 1.0","-","6 w","4 w","—","SA-45-026-A :   Yes","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-026-XXX","19,332","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Pumpkin Spice Individual EW ( RM-03-048-E )","C. Kreugers","—","0","0","0","-","0","-","-","SA-03-048-E","-","5 w","4 w","—","-","Legacy","—","—","0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Valentines Individual  ( RM-03-054-A )","C. Kreugers","—","0","315","315","-","0","-","-","SA-03-054-A 1.0","-","5 w","4 w","—","SA-03-054-A :   Yes","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-054-XXX","2,688","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gluten Free Crispy Pecan Shortbread Individual ( RM-03-074-A )","C. Kreugers","—","0","0","-2","-","0","-","-","SA-03-074-A 1.0","-","5 w","4 w","—","SA-03-074-A :   Yes","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-074-XXX","4,416","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salted Caramel Individual ( RM-03-080-A )","Cravory","—","0","0","0","-","0","-","-","SA-03-080-A","-","4 w","4 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Red Velvet Individual ( RM-03-082-A )","Cravory","—","0","0","0","-","0","-","-","SA-03-082-A","-","4 w","4 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Double Chocolate Individual ( RM-03-087-A )","Cravory","—","0","0","0","-","0","-","-","SA-03-087-A","-","4 w","4 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Gingerbread Spice Individual ( RM-03-092-A )","Cravory","—","0","0","0","-","0","-","-","SA-03-092-A","-","4 w","4 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stuffed Cookies & Cream Individual ( RM-03-014-A )","D'vine","—","0","0","0","-","0","-","-","SA-03-014-A","-","7 w","6 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stuffed Chocolate Caramel Pretzel Individual ( RM-03-015-A )","D'vine","—","0","0","0","-","0","-","-","SA-03-015-A","-","7 w","6 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Stuffed Peanut Butter Nutella Individual ( RM-03-019-A )","D'vine","—","0","0","0","-","0","-","-","SA-03-019-A","-","7 w","6 w","—","-","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sprinkles Individual (merged) ( RM-03-095-A ) , ( RM-03-095-E )","Brownie Points","Taylor Englewood","0","1,508","1,508","-","0","-","-","SA-03-095-A 1.0 SA-03-095-E 1.0","Bakery & Cafe @TY :  2.2 % Bakery & Cafe @EW :  2.0 % Custom Mug & Treats :  1.7 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-C03-REG-25-095-XXX","7,343","1038","148","223","179","194","190","213","262","455","355","262","301","248","283","425","343","1281","2555","3774","2573","686","824","386","279","274","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic Chocolate Chip Individual (merged) ( RM-03-096-A ) , ( RM-03-096-E )","Brownie Points","Taylor Englewood","0","2,008","2,008","-","0","-","-","SA-03-096-A 1.0 SA-03-096-E 1.0","Bakery & Cafe @TY :  3.5 % Bakery & Cafe @EW :  5.2 % Custom Mug & Treats :  2.2 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-C03-REG-25-096-XXX","5,100","2210","249","375","301","326","320","357","440","765","596","441","506","416","474","712","575","2151","4296","6346","4326","1154","1386","649","468","460","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Double Fudge Individual (merged) ( RM-03-097-A ) , ( RM-03-097-E )","Brownie Points","Taylor Englewood","0","2,164","2,164","-","0","-","-","SA-03-097-A 1.0 SA-03-097-E 1.0","Bakery & Cafe @TY :  3.3 % Dog S-Wag :  0.2 % Bakery & Cafe @EW :  3.9 % Custom Mug & Treats :  2.0 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-C03-REG-25-097-XXX","9,192","1754","226","340","273","296","291","325","400","694","541","400","459","378","431","647","522","1952","3895","5752","3922","1046","1256","588","425","417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Lemon Individual EW ( RM-03-098-E )","Brownie Points","Englewood","0","115","115","-","0","-","-","SA-03-098-E 1.0","-","6 w","4 w","—","SA-03-098-E :   Yes","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Salted Caramel Individual (merged) ( RM-03-099-A ) , ( RM-03-099-E )","Brownie Points","Taylor Englewood","0","1,531","1,531","-","0","-","-","SA-03-099-A 1.0 SA-03-099-E 1.0","Bakery & Cafe @TY :  2.5 % Bakery & Cafe @EW :  2.2 % Custom Mug & Treats :  1.7 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-C03-REG-25-099-XXX","4,995","1276","168","252","203","219","215","241","297","515","401","297","341","281","320","481","388","1449","2889","4267","2909","776","932","437","315","310","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Classic Chocolate Fudge Individual (merged) ( RM-45-001-A ) , ( RM-45-001-E )","Brownie Points","Taylor Englewood","32","521","553","-","0","-","-","SA-45-001-A 1.0 SA-45-001-E 1.0","Bakery & Cafe @TY :  3.2 % Dog S-Wag :  0.0 % Bakery & Cafe @EW :  3.7 % Custom Mug & Treats :  3.3 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-001-XXX","4,724","3410","222","334","268","291","285","319","393","682","532","393","451","371","423","636","513","1919","3830","5656","3856","1028","1235","579","417","412","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Original Kitchen Sink Individual EW ( RM-45-002-E )","Brownie Points","Englewood","0","305","305","-","0","-","-","SA-45-002-E 1.0","Bakery & Cafe @EW :  3.2 % Custom Mug & Treats :  1.8 %","6 w","4 w","—","SA-45-002-E :   No","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","17","28","21","23","23","23","30","55","42","31","35","28","32","47","39","148","307","456","311","84","101","46","33","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Coffee Toffee Individual (merged) ( RM-45-008-A ) , ( RM-45-008-E )","Brownie Points","Taylor Englewood","32","263","295","-","0","-","-","SA-45-008-A 1.0 SA-45-008-E 1.0","Bakery & Cafe @TY :  2.1 % Bakery & Cafe @EW :  2.2 % Custom Mug & Treats :  1.8 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-24-008-XXX","265","2211","142","214","172","186","183","204","252","437","340","252","289","238","271","407","329","1229","2451","3620","2468","658","791","370","267","263","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Triple Chocolate Crunch Individual EW ( RM-45-012-E )","Brownie Points","Englewood","0","307","307","-","0","-","-","SA-45-012-E 1.0","Bakery & Cafe @EW :  1.7 % Custom Mug & Treats :  1.6 %","6 w","4 w","—","SA-45-012-E :   No","Legacy","—","—","50.0 % Week  49 - 53","-","-","0","9","15","11","12","12","13","16","29","22","16","18","15","17","25","21","79","164","244","166","45","54","24","18","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Cinnamon Streusel Individual (merged) ( RM-45-018-A ) , ( RM-45-018-E )","Brownie Points","Taylor Englewood","32","308","340","-","0","-","-","SA-45-018-A 1.0 SA-45-018-E 1.0","Bakery & Cafe @TY :  1.3 % Bakery & Cafe @EW :  1.2 % Custom Mug & Treats :  0.8 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-018-XXX","728","1357","86","128","103","112","110","123","151","263","205","151","174","143","163","245","198","739","1475","2178","1485","396","476","223","161","158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Peanut Butter Fudge Individual (merged) ( RM-45-019-A ) , ( RM-45-019-E )","Brownie Points","Taylor Englewood","32","344","376","-","0","-","-","SA-45-019-A 1.0 SA-45-019-E 1.0","Bakery & Cafe @TY :  2.0 % Dog S-Wag :  0.0 % Bakery & Cafe @EW :  2.0 % Custom Mug & Treats :  2.3 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-019-XXX","9,992","2128","136","205","165","178","175","196","241","419","326","241","277","228","260","391","315","1179","2351","3472","2367","631","758","355","256","253","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Berry Score Individual (merged) ( RM-45-021-A ) , ( RM-45-021-E )","Brownie Points","Taylor Englewood","32","254","286","-","0","-","-","SA-45-021-A 1.0 SA-45-021-E 1.0","Bakery & Cafe @TY :  2.4 % Bakery & Cafe @EW :  2.0 % Custom Mug & Treats :  1.4 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-021-XXX","4,628","2542","161","242","195","211","207","232","285","494","385","285","327","269","307","462","372","1391","2774","4097","2793","745","895","419","302","297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Minty Cookies and Cream Individual (merged) ( RM-45-022-A ) , ( RM-45-022-E )","Brownie Points","Taylor Englewood","32","291","323","-","0","-","-","SA-45-022-A 1.0 SA-45-022-E 1.0","Bakery & Cafe @TY :  2.2 % Dog S-Wag :  0.0 % Bakery & Cafe @EW :  2.4 % Custom Mug & Treats :  1.4 %","6 w","4 w","—","Active","Legacy","—","—","50.0 % Week  49 - 53","C-B45-REG-25-022-XXX","2,630","2352","151","227","183","198","195","218","268","465","362","268","308","253","289","434","350","1308","2610","3855","2628","701","842","394","284","280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Buttercream Individual (merged) ( RM-03-042-A ) , ( RM-03-042-E )","C. Kreugers","Taylor Englewood","0","1,741","1,291","-","450","-","-","SA-03-042-A 1.0 SA-03-042-E 1.0","Bakery & Cafe @TY :  2.2 % Bakery & Cafe @EW :  1.7 % Custom Mug & Treats :  1.3 %","5 w","4 w","—","Active","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-042-XXX","10,650","432","145","218","175","190","186","209","257","445","347","257","295","243","277","416","336","836","1667","2462","1678","671","806","378","273","268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Sunshine Lime Individual (merged) ( RM-03-045-A ) , ( RM-03-045-E )","C. Kreugers","Taylor Englewood","0","1,918","1,918","-","0","-","-","SA-03-045-A 1.0 SA-03-045-E 1.0","Bakery & Cafe @TY :  1.8 % Custom Mug & Treats :  0.4 %","5 w","4 w","—","Active","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-045-XXX","4,950","0","114","171","138","150","147","165","203","350","274","202","233","192","218","329","265","659","1311","1935","1319","527","633","298","214","210","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Peanut Butter with Fudge Individual (merged) ( RM-03-047-A ) , ( RM-03-047-E )","C. Kreugers","Taylor Englewood","0","2,517","1,617","-","450","450","P02130 7/26/26","SA-03-047-A 1.0 SA-03-047-E 1.0","Bakery & Cafe @TY :  2.8 % Bakery & Cafe @EW :  2.5 % Custom Mug & Treats :  2.4 %","5 w","4 w","—","Active","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-047-XXX","1,964","261","186","279","224","243","238","267","328","570","444","328","377","310","354","532","429","1069","2132","3149","2147","859","1031","483","349","344","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Apple Pie Individual (merged) ( RM-03-050-A ) , ( RM-03-050-E )","C. Kreugers","Taylor Englewood","0","1,856","956","-","450","450","P02130 7/26/26","SA-03-050-A 1.0 SA-03-050-E 1.0","Bakery & Cafe @TY :  1.8 % Bakery & Cafe @EW :  1.5 % Custom Mug & Treats :  1.5 %","5 w","4 w","—","Active","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-050-XXX","4,139","5","118","177","143","155","152","170","209","363","283","209","240","198","225","339","273","681","1357","2004","1366","546","656","308","222","219","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Iced Maple Butter Pecan Individual (merged) ( RM-03-051-A ) , ( RM-03-051-E )","C. Kreugers","Taylor Englewood","0","2,051","1,601","-","0","450","P02130 7/26/26","SA-03-051-A 1.0 SA-03-051-E 1.0","Bakery & Cafe @TY :  2.6 % Bakery & Cafe @EW :  1.8 % Custom Mug & Treats :  1.2 %","5 w","4 w","—","Active","Legacy","—","—","0 % Week  49 - 53","C-C03-REG-22-051-XXX","1,309","556","174","261","210","228","224","251","308","534","417","308","354","292","332","500","403","1003","1999","2952","2013","805","967","453","327","321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
